ID,X,Y,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,POP_0p5,POP_1p0,POP_2p0,POP_closest
72,-122.5391689,45.552912,Parkrose High,12003 NE SHAVER ST,PORTLAND,97220,Multnomah,4617,8780,17024,23965
73,-122.534493,45.41837135,Clackamas High - West Campus,14486 SE 122ND AVE,CLACKAMAS,97015,Clackamas,6416,9942,22834,38074
74,-122.5263224,45.51537159,David Douglas High,1001 SE 135TH AVE,PORTLAND,97233,Multnomah,8807,21613,53558,61701
75,-122.4776611,45.49663195,Centennial High,3505 SE 182ND AVE,GRESHAM,97030,Multnomah,7087,10583,39387,56484
76,-122.440339,45.50794025,Center for Advanced Learning,1484 NW CIVIC DR,GRESHAM,97030,Multnomah,0,14088,25020,24749
77,-122.429509,45.50590588,Gresham High,1200 N MAIN AVE,GRESHAM,97030,Multnomah,3055,3075,13464,12298
78,-122.4268418,45.50283429,Gresham Central Transit Center,350 NE 8th,Gresham,97030,Multnomah,3055,3075,10750,3650
79,-122.4214251,45.50280271,Burlingame Creek School,876 NE 8TH ST,GRESHAM,97030,Multnomah,0,7116,13635,3276
80,-122.4069627,45.48631769,Springwater Trail High,1440 SE FLEMING AVE,GRESHAM,97080,Multnomah,6665,13530,17960,26331
81,-122.4021681,45.52885205,Reynolds High,1698 SW CHERRY PARK RD,TROUTDALE,97060,Multnomah,5717,12245,9626,23279
82,-122.3962575,45.51572887,Mt. Hood Community College,26000 SE STARK ST,GRESHAM,97030,Multnomah,0,9826,11350,10030
